experiment,sampling_day,pbr_tube,Sample_concentration,cc_sampling_time,Filename,type_of_cell
2,10,4,68657002.91,4/27/2019 16:38,JF_PBR_xp2_d10_t4_01.#m4,b
2,10,4,572895.5008,4/27/2019 16:38,JF_PBR_xp2_d10_t4_01.#m4,c
2,10,4,71677267.79,4/27/2019 16:38,JF_PBR_xp2_d10_t4_02.#m4,b
2,10,4,688479.6808,4/27/2019 16:38,JF_PBR_xp2_d10_t4_02.#m4,c
2,10,5,62752158.94,4/27/2019 16:35,JF_PBR_xp2_d10_t5_01.#m4,b
2,10,5,422133.5269,4/27/2019 16:35,JF_PBR_xp2_d10_t5_01.#m4,c
2,10,5,66048820.77,4/27/2019 16:36,JF_PBR_xp2_d10_t5_02.#m4,b
2,10,5,487463.7156,4/27/2019 16:36,JF_PBR_xp2_d10_t5_02.#m4,c
2,10,6,3869557.33,4/27/2019 16:33,JF_PBR_xp2_d10_t6_01.#m4,b
2,10,6,25126.99565,4/27/2019 16:33,JF_PBR_xp2_d10_t6_01.#m4,c
2,10,6,3437373.005,4/27/2019 16:34,JF_PBR_xp2_d10_t6_02.#m4,b
2,10,6,15076.19739,4/27/2019 16:34,JF_PBR_xp2_d10_t6_02.#m4,c
2,10,7,16292343.98,4/27/2019 16:31,JF_PBR_xp2_d10_t7_01.#m4,b
2,10,7,522641.5095,4/27/2019 16:31,JF_PBR_xp2_d10_t7_01.#m4,c
2,10,7,16784833.09,4/27/2019 16:32,JF_PBR_xp2_d10_t7_02.#m4,b
2,10,7,532692.3078,4/27/2019 16:32,JF_PBR_xp2_d10_t7_02.#m4,c
2,10,8,33263116.84,4/27/2019 16:29,JF_PBR_xp2_d10_t8_01.#m4,b
2,10,8,804063.8608,4/27/2019 16:29,JF_PBR_xp2_d10_t8_01.#m4,c
2,10,8,32740475.33,4/27/2019 16:29,JF_PBR_xp2_d10_t8_02.#m4,b
2,10,8,799038.4617,4/27/2019 16:29,JF_PBR_xp2_d10_t8_02.#m4,c
2,11,1,10829735.13,4/28/2019 17:12,JF_PBR_xp2_d11_t1_01.#m4,b
2,11,1,10050.79826,4/28/2019 17:12,JF_PBR_xp2_d11_t1_01.#m4,c
2,11,1,10080950.65,4/28/2019 17:12,JF_PBR_xp2_d11_t1_02.#m4,b
2,11,1,25126.99565,4/28/2019 17:12,JF_PBR_xp2_d11_t1_02.#m4,c
2,11,2,9095972.425,4/28/2019 17:10,JF_PBR_xp2_d11_t2_01.#m4,b
2,11,2,15076.19739,4/28/2019 17:10,JF_PBR_xp2_d11_t2_01.#m4,c
2,11,2,9799528.304,4/28/2019 17:10,JF_PBR_xp2_d11_t2_02.#m4,b
2,11,2,0,4/28/2019 17:10,JF_PBR_xp2_d11_t2_02.#m4,c
2,11,3,34815965.17,4/28/2019 17:08,JF_PBR_xp2_d11_t3_01.#m4,b
2,11,3,70355.58782,4/28/2019 17:08,JF_PBR_xp2_d11_t3_01.#m4,c
2,11,3,35539622.65,4/28/2019 17:09,JF_PBR_xp2_d11_t3_02.#m4,b
2,11,3,65330.18869,4/28/2019 17:09,JF_PBR_xp2_d11_t3_02.#m4,c
2,11,4,50666074.03,4/28/2019 17:06,JF_PBR_xp2_d11_t4_01.#m4,b
2,11,4,587971.6982,4/28/2019 17:06,JF_PBR_xp2_d11_t4_01.#m4,c
2,11,4,55977920.91,4/28/2019 17:06,JF_PBR_xp2_d11_t4_02.#m4,b
2,11,4,598022.4965,4/28/2019 17:06,JF_PBR_xp2_d11_t4_02.#m4,c
2,11,5,40253447.03,4/28/2019 17:04,JF_PBR_xp2_d11_t5_01.#m4,b
2,11,5,532692.3078,4/28/2019 17:04,JF_PBR_xp2_d11_t5_01.#m4,c
2,11,5,44087826.57,4/28/2019 17:04,JF_PBR_xp2_d11_t5_02.#m4,b
2,11,5,572895.5008,4/28/2019 17:04,JF_PBR_xp2_d11_t5_02.#m4,c
2,11,6,28328174.9,4/28/2019 17:02,JF_PBR_xp2_d11_t6_01.#m4,b
2,11,6,50253.9913,4/28/2019 17:02,JF_PBR_xp2_d11_t6_01.#m4,c
2,11,6,29629753.27,4/28/2019 17:03,JF_PBR_xp2_d11_t6_02.#m4,b
2,11,6,65330.18869,4/28/2019 17:03,JF_PBR_xp2_d11_t6_02.#m4,c
2,11,7,9945264.878,4/28/2019 17:00,JF_PBR_xp2_d11_t7_01.#m4,b
2,11,7,442235.1234,4/28/2019 17:00,JF_PBR_xp2_d11_t7_01.#m4,c
2,11,7,10196534.83,4/28/2019 17:01,JF_PBR_xp2_d11_t7_02.#m4,b
2,11,7,376904.9348,4/28/2019 17:01,JF_PBR_xp2_d11_t7_02.#m4,c
2,11,8,11674002.18,4/28/2019 16:58,JF_PBR_xp2_d11_t8_01.#m4,b
2,11,8,939749.6373,4/28/2019 16:58,JF_PBR_xp2_d11_t8_01.#m4,c
2,11,8,12603701.02,4/28/2019 16:58,JF_PBR_xp2_d11_t8_02.#m4,b
2,11,8,1130714.804,4/28/2019 16:58,JF_PBR_xp2_d11_t8_02.#m4,c
2,12,1,19935758.35,4/29/2019 16:23,JF_PBR_xp2_d12_t1_01.#m4,b
2,12,1,10050.79826,4/29/2019 16:23,JF_PBR_xp2_d12_t1_01.#m4,c
2,12,1,19855351.96,4/29/2019 16:23,JF_PBR_xp2_d12_t1_02.#m4,b
2,12,1,10050.79826,4/29/2019 16:23,JF_PBR_xp2_d12_t1_02.#m4,c
2,12,2,17739658.93,4/29/2019 16:21,JF_PBR_xp2_d12_t2_01.#m4,b
2,12,2,5025.39913,4/29/2019 16:21,JF_PBR_xp2_d12_t2_01.#m4,c
2,12,2,18573875.18,4/29/2019 16:21,JF_PBR_xp2_d12_t2_02.#m4,b
2,12,2,0,4/29/2019 16:21,JF_PBR_xp2_d12_t2_02.#m4,c
2,12,3,37449274.32,4/29/2019 16:19,JF_PBR_xp2_d12_t3_01.#m4,b
2,12,3,65330.18869,4/29/2019 16:19,JF_PBR_xp2_d12_t3_01.#m4,c
2,12,3,37896534.84,4/29/2019 16:20,JF_PBR_xp2_d12_t3_02.#m4,b
2,12,3,35177.79391,4/29/2019 16:20,JF_PBR_xp2_d12_t3_02.#m4,c
2,12,4,34464187.23,4/29/2019 16:17,JF_PBR_xp2_d12_t4_01.#m4,b
2,12,4,462336.72,4/29/2019 16:17,JF_PBR_xp2_d12_t4_01.#m4,c
2,12,4,40087608.86,4/29/2019 16:18,JF_PBR_xp2_d12_t4_02.#m4,b
2,12,4,381930.3339,4/29/2019 16:18,JF_PBR_xp2_d12_t4_02.#m4,c
2,12,5,29283000.73,4/29/2019 16:15,JF_PBR_xp2_d12_t5_01.#m4,b
2,12,5,221117.5617,4/29/2019 16:15,JF_PBR_xp2_d12_t5_01.#m4,c
2,12,5,35037082.73,4/29/2019 16:16,JF_PBR_xp2_d12_t5_02.#m4,b
2,12,5,201015.9652,4/29/2019 16:16,JF_PBR_xp2_d12_t5_02.#m4,c
2,12,6,43233508.72,4/29/2019 16:13,JF_PBR_xp2_d12_t6_01.#m4,b
2,12,6,281422.3513,4/29/2019 16:13,JF_PBR_xp2_d12_t6_01.#m4,c
2,12,6,47741291.74,4/29/2019 16:14,JF_PBR_xp2_d12_t6_02.#m4,b
2,12,6,321625.5443,4/29/2019 16:14,JF_PBR_xp2_d12_t6_02.#m4,c
2,12,7,20981041.37,4/29/2019 16:11,JF_PBR_xp2_d12_t7_01.#m4,b
2,12,7,190965.1669,4/29/2019 16:11,JF_PBR_xp2_d12_t7_01.#m4,c
2,12,7,20182002.91,4/29/2019 16:12,JF_PBR_xp2_d12_t7_02.#m4,b
2,12,7,125634.9783,4/29/2019 16:12,JF_PBR_xp2_d12_t7_02.#m4,c
2,12,8,14613860.67,4/29/2019 16:08,JF_PBR_xp2_d12_t8_01.#m4,b
2,12,8,3150925.255,4/29/2019 16:08,JF_PBR_xp2_d12_t8_01.#m4,c
2,12,8,12287100.87,4/29/2019 16:09,JF_PBR_xp2_d12_t8_02.#m4,b
2,12,8,2939858.491,4/29/2019 16:09,JF_PBR_xp2_d12_t8_02.#m4,c
2,1,1,296534731.5,4/18/2019 15:54,JF_PBR_xp2_d1_t1_01.#m4,b
2,1,1,373889.6953,4/18/2019 15:54,JF_PBR_xp2_d1_t1_01.#m4,c
2,1,1,349269259.9,4/18/2019 16:01,JF_PBR_xp2_d1_t1_02.#m4,b
2,1,1,385950.6532,4/18/2019 16:01,JF_PBR_xp2_d1_t1_02.#m4,c
2,1,1,71360667.65,4/18/2019 16:03,JF_PBR_xp2_d1_t1_03.#m4,b
2,1,1,120609.5791,4/18/2019 16:03,JF_PBR_xp2_d1_t1_03.#m4,c
2,1,1,76989114.67,4/18/2019 16:03,JF_PBR_xp2_d1_t1_04.#m4,b
2,1,1,140711.1756,4/18/2019 16:03,JF_PBR_xp2_d1_t1_04.#m4,c
