,Measurement_type,Wavelength,Row,Column,Measurement,Well,Sample,True_abs_C,True_abs_B,Blank_for_measurement,Measurement-Blank
175,Absorbance,750_nm,H,10,0.11240000277757645,H10,S94,0.025,0.0,0.09009999781847,0.022300004959106445
176,Absorbance,750_nm,A,11,0.3237000107765198,A11,S11,0.005,0.2,0.09009999781847,0.23360001295804977
177,Absorbance,750_nm,B,11,0.29409998655319214,B11,S23,0.005,0.175,0.09009999781847,0.20399998873472214
178,Absorbance,750_nm,C,11,0.25110000371932983,C11,S35,0.005,0.15,0.09009999781847,0.16100000590085983
179,Absorbance,750_nm,D,11,0.22429999709129333,D11,S47,0.005,0.125,0.09009999781847,0.13419999927282333
180,Absorbance,750_nm,E,11,0.19089999794960022,E11,S59,0.005,0.1,0.09009999781847,0.10080000013113022
181,Absorbance,750_nm,F,11,0.1542000025510788,F11,S71,0.005,0.05,0.09009999781847,0.0641000047326088
182,Absorbance,750_nm,G,11,0.11309999972581863,G11,S83,0.005,0.025,0.09009999781847,0.023000001907348633
183,Absorbance,750_nm,H,11,0.09260000288486481,H11,S95,0.005,0.0,0.09009999781847,0.002500005066394806
184,Absorbance,750_nm,A,12,0.3172999918460846,A12,S12,0.0,0.175,0.09009999781847,0.2271999940276146
185,Absorbance,750_nm,B,12,0.2870999872684479,B12,S24,0.0,0.15,0.09009999781847,0.19699998944997787
186,Absorbance,750_nm,C,12,0.24300000071525574,C12,S36,0.0,0.125,0.09009999781847,0.15290000289678574
187,Absorbance,750_nm,D,12,0.21379999816417694,D12,S48,0.0,0.1,0.09009999781847,0.12370000034570694
188,Absorbance,750_nm,E,12,0.19539999961853027,E12,S60,0.0,0.05,0.09009999781847,0.10530000180006027
189,Absorbance,750_nm,F,12,0.13189999759197235,F12,S72,0.0,0.025,0.09009999781847,0.04179999977350235
190,Absorbance,750_nm,G,12,0.10920000076293945,G12,S84,0.0,0.0,0.09009999781847,0.019100002944469452
191,Absorbance,750_nm,H,12,0.09009999781847,H12,S96,0.0,0.0,0.09009999781847,0.0
192,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,A,1,4669.0,A1,S01,0.25,0.2,3.0,4666.0
193,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,B,1,4835.0,B1,S13,0.25,0.175,3.0,4832.0
194,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,C,1,4641.0,C1,S25,0.25,0.15,3.0,4638.0
195,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,D,1,4778.0,D1,S37,0.25,0.125,3.0,4775.0
196,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,E,1,4939.0,E1,S49,0.25,0.1,3.0,4936.0
197,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,F,1,5389.0,F1,S61,0.25,0.05,3.0,5386.0
198,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,G,1,6295.0,G1,S73,0.25,0.025,3.0,6292.0
199,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,H,1,6657.0,H1,S85,0.25,0.0,3.0,6654.0
200,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,A,2,4216.0,A2,S02,0.225,0.2,3.0,4213.0
201,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,B,2,4186.0,B2,S14,0.225,0.175,3.0,4183.0
202,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,C,2,4561.0,C2,S26,0.225,0.15,3.0,4558.0
203,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,D,2,4568.0,D2,S38,0.225,0.125,3.0,4565.0
204,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,E,2,4740.0,E2,S50,0.225,0.1,3.0,4737.0
205,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,F,2,5191.0,F2,S62,0.225,0.05,3.0,5188.0
206,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,G,2,5566.0,G2,S74,0.225,0.025,3.0,5563.0
207,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,H,2,6514.0,H2,S86,0.225,0.0,3.0,6511.0
208,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,A,3,4099.0,A3,S03,0.2,0.2,3.0,4096.0
209,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,B,3,4873.0,B3,S15,0.2,0.175,3.0,4870.0
210,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,C,3,4304.0,C3,S27,0.2,0.15,3.0,4301.0
211,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,D,3,4494.0,D3,S39,0.2,0.125,3.0,4491.0
212,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,E,3,4585.0,E3,S51,0.2,0.1,3.0,4582.0
213,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,F,3,5292.0,F3,S63,0.2,0.05,3.0,5289.0
214,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,G,3,5773.0,G3,S75,0.2,0.025,3.0,5770.0
215,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,H,3,5904.0,H3,S87,0.2,0.0,3.0,5901.0
216,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,A,4,3412.0,A4,S04,0.175,0.2,3.0,3409.0
217,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,B,4,3766.0,B4,S16,0.175,0.175,3.0,3763.0
218,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,C,4,4085.0,C4,S28,0.175,0.15,3.0,4082.0
219,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,D,4,4360.0,D4,S40,0.175,0.125,3.0,4357.0
220,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,E,4,4220.0,E4,S52,0.175,0.1,3.0,4217.0
221,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,F,4,5232.0,F4,S64,0.175,0.05,3.0,5229.0
222,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,G,4,6113.0,G4,S76,0.175,0.025,3.0,6110.0
223,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,H,4,5730.0,H4,S88,0.175,0.0,3.0,5727.0
224,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,A,5,4035.0,A5,S05,0.15,0.2,3.0,4032.0
225,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,B,5,3673.0,B5,S17,0.15,0.175,3.0,3670.0
226,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,C,5,3803.0,C5,S29,0.15,0.15,3.0,3800.0
227,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,D,5,3706.0,D5,S41,0.15,0.125,3.0,3703.0
228,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,E,5,4147.0,E5,S53,0.15,0.1,3.0,4144.0
229,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,F,5,5213.0,F5,S65,0.15,0.05,3.0,5210.0
230,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,G,5,5094.0,G5,S77,0.15,0.025,3.0,5091.0
231,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,H,5,5285.0,H5,S89,0.15,0.0,3.0,5282.0
232,Fluorescence Bottom Reading,Ex:440_nm/Em:680_nm,A,6,2958.0,A6,S06,0.125,0.2,3.0,2955.0
