,well,content,t(h),A750c,F680c
317,C3,ICL_114B,70,0.275624996,4943
318,C4,ICL_208B,70,0.188991667,5004.666667
319,C5,ICL_117,70,0.281324998,4650.833333
320,C6,ICL_132,70,0.164791664,4518.5
321,C7,ICL_48,70,0.192891663,4450.333333
322,C8,ICL_201,70,0.200241661,4504
323,C9,ICL_172,70,0.170191666,4030.166667
324,D1,ICL_186A,70,0.246291668,4814.333333
325,D10,Chlamy,70,0.216908332,5046.333333
326,D11,Chlamy,70,0.218341664,5024.5
327,D12,Chlamy,70,0.211075004,5203.833333
328,D2,ICL_186B,70,0.195524996,5052
329,D3,ICL_170,70,0.246125004,4753.333333
330,D4,ICL_179A,70,0.244291664,5109.666667
331,D5,ICL_179B,70,0.212608338,4828.666667
332,D6,Chlamy,70,0.186541667,4595
333,D7,Chlamy,70,0.214958331,4971
334,D8,Chlamy,70,0.204158332,4948.5
335,D9,Chlamy,70,0.212774998,4952.166667
336,E1,ICL_162,70,0.238591662,4090.333333
337,E10,ICL_118B,70,0.260058334,4497.666667
338,E11,ICL_100,70,0.194691664,5316.166667
339,E12,ICL_108,70,0.219325002,4959
340,E2,ICL_202A,70,0.226291662,4397.166667
341,E3,ICL_202B,70,0.231991664,4430.5
342,E4,ICL_202C,70,0.227458334,4394.833333
343,E5,ICL_131,70,0.19860833,4537.833333
344,E6,ICL_116,70,0.209825,4378.666667
345,E7,ICL_112,70,0.223108332,4291
346,E8,ICL_163,70,0.193574996,5048.333333
347,E9,ICL_24,70,0.206858333,5312.166667
348,F1,ICL_115,70,0.18844166,5228.166667
349,F10,ICL_20BA,70,0.215608329,5112.833333
350,F11,ICL_20BB,70,0.204075,5246
351,F12,ICL_60,70,0.21089167,5343.833333
352,F2,ICL_199,70,0.17509167,5275.333333
353,F3,ICL_101,70,0.192541665,5022
354,F4,ICL_139A,70,0.193108331,4934.166667
355,F5,ICL_103,70,0.204691664,5038.333333
356,F6,ICL_160,70,0.177924997,4876.333333
357,F7,ICL_129A,70,0.214891668,4279
358,F8,ICL_129B,70,0.195091666,4793.666667
359,F9,ICL_133,70,0.215341663,5083.166667
360,G1,ICL_144,70,0.212274994,5070.333333
361,G10,ICL_184BA,70,0.201558333,4296.833333
362,G11,ICL_184BB,70,0.197224995,3820.333333
363,G12,ICL_193,70,0.251308333,4588.833333
364,G2,ICL_41,70,0.279558332,4815.333333
365,G3,ICL_114B,70,0.280191666,4801
366,G4,ICL_208B,70,0.200641668,5024.833333
367,G5,ICL_117,70,0.208991663,5085.833333
368,G6,ICL_132,70,0.198574996,5018
369,G7,ICL_48,70,0.203258332,4587.333333
