,well,content,t(h),A750c
471,H12,BLANK,93,-0.018589287
472,H2,ICL_186B,93,0.04656071
473,H3,ICL_170,93,0.135260717
474,H4,ICL_179A,93,0.160210715
475,H5,ICL_179B,93,-0.015089287
476,H6,BLANK,93,-0.019839285
477,H7,BLANK,93,0.033310716
478,H8,BLANK,93,-0.013489286
479,H9,BLANK,93,0.048060713
480,A1,ICL_162,120,0.119975002
481,A10,ICL_118B,120,0.105624997
482,A11,ICL_100,120,-0.014125003
483,A12,ICL_108,120,-0.014025002
484,A2,ICL_202A,120,0.112674997
485,A3,ICL_202B,120,0.109175005
486,A4,ICL_202C,120,0.103824997
487,A5,ICL_131,120,0.077775003
488,A6,ICL_116,120,0.077625
489,A7,ICL_112,120,0.110874997
490,A8,ICL_163,120,0.092275002
491,A9,ICL_24,120,-0.011725
492,B1,ICL_115,120,0.028424998
493,B10,ICL_20BA,120,-0.009975
494,B11,ICL_20BB,120,0.044274994
495,B12,ICL_60,120,-0.011175002
496,B2,ICL_199,120,-0.017325002
497,B3,ICL_101,120,0.031324999
498,B4,ICL_139A,120,-0.016325
499,B5,ICL_103,120,-0.016925002
500,B6,ICL_160,120,0.029524998
501,B7,ICL_129A,120,0.102074997
502,B8,ICL_129B,120,0.041524996
503,B9,ICL_133,120,0.028775
504,C1,ICL_144,120,-0.017475
505,C10,ICL_184BA,120,0.089424999
506,C11,ICL_184BB,120,0.093025
507,C12,ICL_193,120,0.116174997
508,C2,ICL_41,120,0.083875002
509,C3,ICL_114B,120,0.079475002
510,C4,ICL_208B,120,0.035524999
511,C5,ICL_117,120,0.112375
512,C6,ICL_132,120,-0.019225
513,C7,ICL_48,120,0.096774996
514,C8,ICL_201,120,0.062874996
515,C9,ICL_172,120,0.066225001
516,D1,ICL_186A,120,0.124775001
517,D10,BLANK,120,-0.012324999
518,D11,BLANK,120,-0.013674999
519,D12,BLANK,120,0.042725002
520,D2,ICL_186B,120,-0.009775
521,D3,ICL_170,120,0.109875002
522,D4,ICL_179A,120,0.123375
523,D5,ICL_179B,120,0.040225
524,D6,BLANK,120,-0.010974998
525,D7,BLANK,120,0.027625003
526,D8,BLANK,120,-0.012825004
