,well,content,t(h),A750c,F680c
469,H10,Chlamy,93,0.171660708,7599.5
470,H11,Chlamy,93,0.175485705,7585
471,H12,Chlamy,93,0.159910714,7635
472,H2,ICL_186B,93,0.214485714,6424.25
473,H3,ICL_170,93,0.208585711,6711.5
474,H4,ICL_179A,93,0.221260705,6518
475,H5,ICL_179B,93,0.233660714,6821
476,H6,Chlamy,93,0.205785715,7566.75
477,H7,Chlamy,93,0.151035716,7515.25
478,H8,Chlamy,93,0.164560707,7591
479,H9,Chlamy,93,0.163285711,7537.25
480,A1,ICL_162,120,0.155174994,6691.75
481,A10,ICL_118B,120,0.169949995,6680
482,A11,ICL_100,120,0.181499996,7310.25
483,A12,ICL_108,120,0.166549997,6724.5
484,A2,ICL_202A,120,0.163199992,6806.75
485,A3,ICL_202B,120,0.161799998,7017
486,A4,ICL_202C,120,0.173625001,7032.75
487,A5,ICL_131,120,0.175575004,7036.5
488,A6,ICL_116,120,0.171674998,7122
489,A7,ICL_112,120,0.175624997,6988.5
490,A8,ICL_163,120,0.181974993,7362
491,A9,ICL_24,120,0.176949994,6943.25
492,B1,ICL_115,120,0.17427499,7272.75
493,B10,ICL_20BA,120,0.184725003,6818
494,B11,ICL_20BB,120,0.178674997,6937
495,B12,ICL_60,120,0.174475,6690.25
496,B2,ICL_199,120,0.168124997,6643.5
497,B3,ICL_101,120,0.169925005,6643.5
498,B4,ICL_139A,120,0.175649994,6785.75
499,B5,ICL_103,120,0.192525,7017
500,B6,ICL_160,120,0.179875002,6849.75
501,B7,ICL_129A,120,0.178374999,6930.5
502,B8,ICL_129B,120,0.178350003,6689
503,B9,ICL_133,120,0.168825002,6437.5
504,C1,ICL_144,120,0.166225002,6988.5
505,C10,ICL_184BA,120,0.175324992,6639.5
506,C11,ICL_184BB,120,0.170675003,6679.25
507,C12,ICL_193,120,0.162974999,6889.75
508,C2,ICL_41,120,0.166575001,6579.75
509,C3,ICL_114B,120,0.165399999,6469.5
510,C4,ICL_208B,120,0.164999993,6634.5
511,C5,ICL_117,120,0.180775003,6600.5
512,C6,ICL_132,120,0.178049998,6841.5
513,C7,ICL_48,120,0.177675002,7233.5
514,C8,ICL_201,120,0.180325003,6827.75
515,C9,ICL_172,120,0.175775,6595
516,D1,ICL_186A,120,0.174499997,6961.25
517,D10,Chlamy,120,0.216024996,12231.25
518,D11,Chlamy,120,0.192125001,11276.75
519,D12,Chlamy,120,0.167850004,10804.25
520,D2,ICL_186B,120,0.170800001,6362
521,D3,ICL_170,120,0.163824999,6424.75
522,D4,ICL_179A,120,0.174199999,6878.5
523,D5,ICL_179B,120,0.185049997,6694.75
524,D6,Chlamy,120,0.200750002,12297
525,D7,Chlamy,120,0.196100005,12002
526,D8,Chlamy,120,0.220899993,12241.25
527,D9,Chlamy,120,0.210974992,12120.5
528,E1,ICL_162,120,0.175849998,7173.25
529,E10,ICL_118B,120,0.272075006,6895
530,E11,ICL_100,120,0.175425002,6519.75
531,E12,ICL_108,120,0.17865,7001.25
532,E2,ICL_202A,120,0.171324999,6516
533,E3,ICL_202B,120,0.169050002,6399.5
534,E4,ICL_202C,120,0.165500001,6602.25
535,E5,ICL_131,120,0.175049999,6518.75
536,E6,ICL_116,120,0.170199991,6721.5
537,E7,ICL_112,120,0.190525004,7042.5
538,E8,ICL_163,120,0.255875,6417.5
539,E9,ICL_24,120,0.200774991,5760.25
540,F1,ICL_115,120,0.169625,7590
541,F10,ICL_20BA,120,0.165400007,6688.5
542,F11,ICL_20BB,120,0.176050001,6972.25
543,F12,ICL_60,120,0.171850004,7268.75
544,F2,ICL_199,120,0.177775004,6975.5
545,F3,ICL_101,120,0.162425001,6564.25
546,F4,ICL_139A,120,0.167775006,6858
547,F5,ICL_103,120,0.182750003,6711.5
548,F6,ICL_160,120,0.157275,6391.25
549,F7,ICL_129A,120,0.163824999,6698
550,F8,ICL_129B,120,0.176875004,6866.5
551,F9,ICL_133,120,0.156799999,6540
552,G1,ICL_144,120,0.182499991,7518.25
553,G10,ICL_184BA,120,0.136000001,4507.25
554,G11,ICL_184BB,120,0.196099998,4750.5
555,G12,ICL_193,120,0.200599999,5212.5
556,G2,ICL_41,120,0.175800004,7054.75
557,G3,ICL_114B,120,0.174300001,7008.75
558,G4,ICL_208B,120,0.171275006,6838.75
559,G5,ICL_117,120,0.184199997,6923.25
560,G6,ICL_132,120,0.171625004,6423
561,G7,ICL_48,120,0.172550001,6813.5
562,G8,ICL_201,120,0.170774997,6542.5
563,G9,ICL_172,120,0.167324999,6327.75
564,H1,ICL_186A,120,0.174950005,8615.5
565,H10,Chlamy,120,0.18132499,11219.5
566,H11,Chlamy,120,0.183775001,10683
567,H12,Chlamy,120,0.17025,10884.25
568,H2,ICL_186B,120,0.186774993,7804
569,H3,ICL_170,120,0.173575,7843.75
570,H4,ICL_179A,120,0.188650006,7553.75
571,H5,ICL_179B,120,0.204224997,7833.75
572,H6,Chlamy,120,0.246500001,11314.75
573,H7,Chlamy,120,0.166350001,11537.5
574,H8,Chlamy,120,0.191425004,11664
575,H9,Chlamy,120,0.187024997,11584.5
576,A1,ICL_162,142,0.143400006,6653.5
577,A10,ICL_118B,142,0.153399993,6886.25
578,A11,ICL_100,142,0.150000003,7210.25
579,A12,ICL_108,142,0.140325006,6698
580,A2,ICL_202A,142,0.154375006,6754.5
581,A3,ICL_202B,142,0.149525002,6876.25
582,A4,ICL_202C,142,0.1547,6889.25
583,A5,ICL_131,142,0.159875009,6997.25
584,A6,ICL_116,142,0.154024992,7145.75
585,A7,ICL_112,142,0.151149992,7042.5
586,A8,ICL_163,142,0.160074998,7277.5
587,A9,ICL_24,142,0.152025011,7190
588,B1,ICL_115,142,0.164099995,7159
