Well	mode	wavelength	abs
B11	Absorbance	540	0.6212000250816345
B12	Absorbance	540	0.4896000027656555
C1	Absorbance	540	1.094099998474121
C2	Absorbance	540	1.0642000436782837
C3	Absorbance	540	1.048799991607666
C4	Absorbance	540	1.0099999904632568
C5	Absorbance	540	0.9646000266075134
C6	Absorbance	540	0.9174000024795532
C7	Absorbance	540	0.8675000071525574
C8	Absorbance	540	0.8323000073432922
C9	Absorbance	540	0.7615000009536743
C10	Absorbance	540	0.7056999802589417
C11	Absorbance	540	0.633899986743927
C12	Absorbance	540	0.49149999022483826
D1	Absorbance	540	1.090000033378601
D2	Absorbance	540	1.014799952507019
D3	Absorbance	540	0.9879999756813049
D4	Absorbance	540	0.9545999765396118
D5	Absorbance	540	0.9182999730110168
D6	Absorbance	540	0.8723999857902527
D7	Absorbance	540	0.8180000185966492
D8	Absorbance	540	0.7458999752998352
D9	Absorbance	540	0.6743000149726868
D10	Absorbance	540	0.5992000102996826
D11	Absorbance	540	0.5356000065803528
D12	Absorbance	540	0.40070000290870667
E1	Absorbance	540	1.0220999717712402
E2	Absorbance	540	0.9728000164031982
E3	Absorbance	540	0.9264000058174133
E4	Absorbance	540	0.8920000195503235
E5	Absorbance	540	0.8514999747276306
E6	Absorbance	540	0.7997000217437744
E7	Absorbance	540	0.7462000250816345
E8	Absorbance	540	0.6862999796867371
E9	Absorbance	540	0.6262000203132629
E10	Absorbance	540	0.5674999952316284
E11	Absorbance	540	0.5026999711990356
E12	Absorbance	540	0.3659000098705292
F1	Absorbance	540	0.9689000248908997
F2	Absorbance	540	0.9222000241279602
F3	Absorbance	540	0.8720999956130981
F4	Absorbance	540	0.8373000025749207
F5	Absorbance	540	0.7949000000953674
F6	Absorbance	540	0.7386000156402588
F7	Absorbance	540	0.6743000149726868
F8	Absorbance	540	0.632099986076355
F9	Absorbance	540	0.5612000226974487
F10	Absorbance	540	0.504800021648407
F11	Absorbance	540	0.4357999861240387
F12	Absorbance	540	0.3003000020980835
G1	Absorbance	540	0.9264000058174133
G2	Absorbance	540	0.86080002784729
