experiment	sampling_day	pbr_tube	Sample_concentration	cc_sampling_time	Filename	type_of_cell
2	10	1	10523185.77822	2019-04-27 16:44:55	JF_PBR_xp2_d10_t1_02.#m4	b
2	10	1	115584.17999	2019-04-27 16:44:55	JF_PBR_xp2_d10_t1_02.#m4	c
2	10	2	13066037.738	2019-04-27 16:42:19	JF_PBR_xp2_d10_t2_01.#m4	b
2	10	2	20101.59652	2019-04-27 16:42:19	JF_PBR_xp2_d10_t2_01.#m4	c
2	10	2	13171571.11973	2019-04-27 16:42:48	JF_PBR_xp2_d10_t2_02.#m4	b
2	10	2	30152.394780000002	2019-04-27 16:42:48	JF_PBR_xp2_d10_t2_02.#m4	c
2	10	3	38278465.17321	2019-04-27 16:40:18	JF_PBR_xp2_d10_t3_01.#m4	b
2	10	3	90457.18434	2019-04-27 16:40:18	JF_PBR_xp2_d10_t3_01.#m4	c
2	10	3	40715783.75126	2019-04-27 16:40:46	JF_PBR_xp2_d10_t3_02.#m4	b
2	10	3	110558.78086	2019-04-27 16:40:46	JF_PBR_xp2_d10_t3_02.#m4	c
2	10	4	68657002.91406	2019-04-27 16:38:21	JF_PBR_xp2_d10_t4_01.#m4	b
2	10	4	572895.50082	2019-04-27 16:38:21	JF_PBR_xp2_d10_t4_01.#m4	c
2	10	4	71677267.79119	2019-04-27 16:38:50	JF_PBR_xp2_d10_t4_02.#m4	b
2	10	4	688479.6808099999	2019-04-27 16:38:50	JF_PBR_xp2_d10_t4_02.#m4	c
2	10	5	62752158.93631	2019-04-27 16:35:54	JF_PBR_xp2_d10_t5_01.#m4	b
2	10	5	422133.52692	2019-04-27 16:35:54	JF_PBR_xp2_d10_t5_01.#m4	c
2	10	5	66048820.765590005	2019-04-27 16:36:24	JF_PBR_xp2_d10_t5_02.#m4	b
2	10	5	487463.7156100001	2019-04-27 16:36:24	JF_PBR_xp2_d10_t5_02.#m4	c
2	10	6	3869557.3301000004	2019-04-27 16:33:52	JF_PBR_xp2_d10_t6_01.#m4	b
2	10	6	25126.99565	2019-04-27 16:33:52	JF_PBR_xp2_d10_t6_01.#m4	c
2	10	6	3437373.0049199997	2019-04-27 16:34:21	JF_PBR_xp2_d10_t6_02.#m4	b
2	10	6	15076.197390000001	2019-04-27 16:34:21	JF_PBR_xp2_d10_t6_02.#m4	c
2	10	7	16292343.979460001	2019-04-27 16:31:45	JF_PBR_xp2_d10_t7_01.#m4	b
2	10	7	522641.50951999996	2019-04-27 16:31:45	JF_PBR_xp2_d10_t7_01.#m4	c
2	10	7	16784833.094200004	2019-04-27 16:32:14	JF_PBR_xp2_d10_t7_02.#m4	b
2	10	7	532692.30778	2019-04-27 16:32:14	JF_PBR_xp2_d10_t7_02.#m4	c
2	10	8	33263116.841470003	2019-04-27 16:29:18	JF_PBR_xp2_d10_t8_01.#m4	b
2	10	8	804063.8608	2019-04-27 16:29:18	JF_PBR_xp2_d10_t8_01.#m4	c
2	10	8	32740475.33195	2019-04-27 16:29:46	JF_PBR_xp2_d10_t8_02.#m4	b
2	10	8	799038.46167	2019-04-27 16:29:46	JF_PBR_xp2_d10_t8_02.#m4	c
2	11	1	10829735.12515	2019-04-28 17:12:12	JF_PBR_xp2_d11_t1_01.#m4	b
2	11	1	10050.79826	2019-04-28 17:12:12	JF_PBR_xp2_d11_t1_01.#m4	c
2	11	1	10080950.65478	2019-04-28 17:12:41	JF_PBR_xp2_d11_t1_02.#m4	b
2	11	1	25126.99565	2019-04-28 17:12:41	JF_PBR_xp2_d11_t1_02.#m4	c
2	11	2	9095972.4253	2019-04-28 17:10:15	JF_PBR_xp2_d11_t2_01.#m4	b
2	11	2	15076.197390000001	2019-04-28 17:10:15	JF_PBR_xp2_d11_t2_01.#m4	c
