,kB680,kC680,kB720,kC720,kB680m,kB720m,kC680m,kC720m
640,0.9873947267787424,1.6997086901446856,0.932302094840626,0.7656960113771646,-0.9102835766305205,1.9961658728036513,1.0055671275820852,-0.904961011878634
645,0.9908937094032751,1.5989348217458992,0.9356008407087376,0.7203138418468064,-0.9070771172622193,1.9891410888996264,1.0678382859046462,-0.9606300650368708
650,0.99539091162701,1.4741118192552358,0.9398598559423951,0.6640400649821289,-0.9030701108365535,1.9803469670791385,1.1571023994986036,-1.0403409418277674
655,0.9999811647473058,1.4106626651859644,0.9441985327254528,0.6354480682167912,-0.8989794967225336,1.9713773445957832,1.2079426807378222,-1.0855166088373132
660,1.0051300590091337,1.3646628149336657,0.9490676606728388,0.6147183957921482,-0.8943724078964648,1.9612699433626983,1.2480014544978302,-1.1212498670509943
665,1.009145039606166,1.267431996722077,0.952870070818973,0.5709081396174757,-0.8908464023464425,1.953622729175687,1.3418718948161872,-1.2048937196521041
670,1.0137524278216017,1.170370207064357,0.9572225004581024,0.5269910231170225,-0.8869468340797201,1.9449868162672035,1.44799908061713,-1.2972324512281692
675,1.0173280867264318,1.0984103921543509,0.9606126039714072,0.4947559167790173,-0.883779725427747,1.9381148591978714,1.544898760958268,-1.3862196044011978
680,1.0231059253897492,1.076346922530527,0.9660814913843392,0.4848237328682122,-0.8789402368307703,1.9274754427888412,1.5762728078549808,-1.414302478970348
685,1.0268252665440636,1.1229949165399256,0.9695958741183589,0.5058624672039809,-0.8757305751549733,1.92051087225807,1.512833746209419,-1.3584856923139168
690,1.0312642326088721,1.2760980976080725,0.9737952206640776,0.5748416827584086,-0.8719950460794968,1.9123148821741096,1.334840052363126,-1.1999610598954689
695,1.037016751460717,1.5738954898630406,0.9792325156206088,0.7093731414214418,-0.8672154471371855,1.901806141304135,1.0859412953271121,-0.9794421317159162
700,1.041822209650281,1.7625578506930988,0.9837827849432222,0.7940173683745361,-0.8632054852125993,1.893099605611023,0.9695927860894265,-0.8724056698575919
705,1.0455102990234637,1.9176438534170563,0.987276137202828,0.8638093463385627,-0.860127851624923,1.8864777116537488,0.8920620744964558,-0.802792631109318
710,1.049582387959728,2.0553706708189514,0.9911357029202792,0.9258141226397744,-0.8569416270173728,1.8794039990811997,0.8323459779058928,-0.7487501502839607
715,1.0537634304216563,2.145311781919278,0.9951043551962898,0.9663063961149628,-0.8535726673171358,1.872075639664341,0.7973636257368639,-0.7170673155024592
720,1.0589312052357178,2.220166736686619,1.0000000000000002,1.0000000000000002,-0.8493967651548111,1.8630182094210257,0.7702499186968151,-0.6923192066065949
725,1.063985607172539,2.2837481829192456,1.004784129574114,1.0286202361862948,-0.8454567691306157,1.8543601951964628,0.7484242976193325,-0.6722604804119791
730,1.0686242824640353,2.3268650641109603,1.009181556617088,1.0480463613650282,-0.841746551184197,1.8463019274498085,0.7342908484922422,-0.6593531507272313
735,1.0727430986251554,2.3607408295653705,1.013069102942706,1.0632957692187652,-0.8385032875586698,1.839238598825048,0.7236596963069372,-0.6496923614473976
740,1.078533068999338,2.3976717502062197,1.0185506081957147,1.0799564805991992,-0.8339680074157365,1.8293630583738076,0.7124290110989306,-0.6394513355644496
745,1.082891289832541,2.4267437603743374,1.022666418972451,1.0930765124402386,-0.8306186805600181,1.8220348211040067,0.7037515488390144,-0.6315548689119874
750,1.0873818975628162,2.454750983073948,1.026920471437435,1.105714518246231,-0.8271562672479044,1.8144750137095849,0.6955535931908474,-0.6241026856043296
755,1.0920071788319041,2.477409561046876,1.0312905090210458,1.1159382752568103,-0.8236697016579269,1.8068474547080942,0.6891267527423194,-0.6182301197462651
760,1.0958514181847232,2.499654254894953,1.0349248409303875,1.1260084886032806,-0.8207761982859414,1.8005279850167366,0.6827274801628727,-0.6124201064663185
765,1.100207072557273,2.5215515574857608,1.039054019906241,1.1358942316275684,-0.817485915645921,1.793391377815209,0.676749936612346,-0.6069861545661577
770,1.105302759400826,2.54670222471218,1.0438578422061615,1.147239647154832,-0.8136592638613024,1.7850550974939807,0.6699873035866486,-0.6008915996813833
775,1.109576710992844,2.565739087735984,1.0479098028396336,1.155842473794698,-0.8105830989606063,1.7782996808789517,0.6647657286911771,-0.5960262034514939
780,1.114085623873115,2.585260142776121,1.0521648137044564,1.1646870424435136,-0.8072596495835366,1.7710432722780924,0.6595418260379462,-0.591286092887173
785,1.119263987705854,2.605428875237895,1.0570666723096265,1.1738044462127342,-0.8034829885406249,1.7627830083988407,0.6543200846575364,-0.5866045753784582
790,1.123737590830708,2.622498030052051,1.0612925931745016,1.1815266358905645,-0.8002628030818614,1.755767159365215,0.6498236002231889,-0.5825201943465025
795,1.128716153024884,2.6414532027071043,1.066001903236066,1.1900824186879084,-0.7966821994066475,1.747955186365294,0.6449937268938851,-0.5780976751085909
800,1.133783587703366,2.6585057958850804,1.0707859343096302,1.1978007001269202,-0.7931193047282876,1.7401614976981084,0.6407468523653553,-0.5742565101981161
